"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1355","Попытка логина без пароля","","Fri Feb 28 21:40:39 YEKT 2025","passed","Fri Feb 28 21:40:40 YEKT 2025","","Тесты логина пользователя с некорректными данными","LoginUserEndpoint.LogInIncorrectUserInfoTest","logInIncorrectUserPasswordTest"
"","544","Попытка создание пользователя без имени","","Fri Feb 28 21:40:35 YEKT 2025","passed","Fri Feb 28 21:40:35 YEKT 2025","","Проверки создания пользователя с отсутствующими параметрами","CreateUserEndpointTest.CreateUserWithLackInfoTest","createUserWithLackNameTest"
"","500","Попытка создания пользователя без почты","","Fri Feb 28 21:40:34 YEKT 2025","passed","Fri Feb 28 21:40:35 YEKT 2025","","Проверки создания пользователя с отсутствующими параметрами","CreateUserEndpointTest.CreateUserWithLackInfoTest","createUserWithLackEmailTest"
"","1277","Создание дубликата пользователя","","Fri Feb 28 21:40:32 YEKT 2025","passed","Fri Feb 28 21:40:33 YEKT 2025","","Проверка создания дубликата пользователя","CreateUserEndpointTest.CreateDuplicateUserTest","createDuplicateUserTest"
"","1883","Обновление имени пользователя","","Fri Feb 28 21:40:47 YEKT 2025","passed","Fri Feb 28 21:40:49 YEKT 2025","","Тесты изменения информации о пользователе с авторизацией","UpdateUserInfoEndpointTest.UpdateUserInfoWithoutAuthorizationTest","updateUserNameTest"
"","1044","Создание уникального пользователя","","Fri Feb 28 21:40:33 YEKT 2025","failed","Fri Feb 28 21:40:34 YEKT 2025","","Создание уникального пользователя","CreateUserEndpointTest.CreateUniqueUserTest","createUniqueUserTest"
"","5046","Создание заказа без авторизации","","Fri Feb 28 21:40:18 YEKT 2025","failed","Fri Feb 28 21:40:23 YEKT 2025","","Проверки создания заказа, связанные с авторизацией","CreateOrderEndpointTest.CreateOrderAuthorizationTest","createOrderWithoutAuthorization"
"","1223","createOrderWithoutIngredientsTest()","","Fri Feb 28 21:40:31 YEKT 2025","passed","Fri Feb 28 21:40:32 YEKT 2025","","Тесты создания заказа, связанные с ингредиентами","CreateOrderEndpointTest.CreateOrderIngredientsTest","createOrderWithoutIngredientsTest"
"","3062","createOrderWithIngredientsTest()","","Fri Feb 28 21:40:27 YEKT 2025","failed","Fri Feb 28 21:40:31 YEKT 2025","","Тесты создания заказа, связанные с ингредиентами","CreateOrderEndpointTest.CreateOrderIngredientsTest","createOrderWithIngredientsTest"
"","622","Попытка создания пользователя без пароля","","Fri Feb 28 21:40:35 YEKT 2025","passed","Fri Feb 28 21:40:36 YEKT 2025","","Проверки создания пользователя с отсутствующими параметрами","CreateUserEndpointTest.CreateUserWithLackInfoTest","createUserWithLackPasswordTest"
"","1447","createOrderWithIncorrectIngredientsHashesTest()","","Fri Feb 28 21:40:26 YEKT 2025","passed","Fri Feb 28 21:40:27 YEKT 2025","","Тесты создания заказа, связанные с ингредиентами","CreateOrderEndpointTest.CreateOrderIngredientsTest","createOrderWithIncorrectIngredientsHashesTest"
"","237","Получения списка заказов пользователя без авторизации","","Fri Feb 28 21:40:37 YEKT 2025","passed","Fri Feb 28 21:40:38 YEKT 2025","","Тесты получения списка заказов пользователя","GetOrdersByUserEndpointTest.GetOrdersByUserTest","getOrdersByUserWithoutAuthorizationTest"
"","3260","Создание заказа с авторизацией","","Fri Feb 28 21:40:23 YEKT 2025","failed","Fri Feb 28 21:40:26 YEKT 2025","","Проверки создания заказа, связанные с авторизацией","CreateOrderEndpointTest.CreateOrderAuthorizationTest","createOrderWithAuthorization"
"","1468","Логин существующим пользователем","","Fri Feb 28 21:40:40 YEKT 2025","passed","Fri Feb 28 21:40:42 YEKT 2025","","Тест логина корректного пользователя","LoginUserEndpoint.LogInRealUserTest","logInRealUserTest"
"","1588","Получения списка заказов пользователя с авторизацией","","Fri Feb 28 21:40:36 YEKT 2025","passed","Fri Feb 28 21:40:37 YEKT 2025","","Тесты получения списка заказов пользователя","GetOrdersByUserEndpointTest.GetOrdersByUserTest","getOrdersByUserWithAuthorizationTest"
"","1606","Обновление емейла пользователя","","Fri Feb 28 21:40:42 YEKT 2025","passed","Fri Feb 28 21:40:43 YEKT 2025","","Тесты изменения информации о пользователе с авторизацией","UpdateUserInfoEndpointTest.UpdateUserInfoWithAuthorizationTest","updateUserEmailTest"
"","1287","Попытка логина без емейла","","Fri Feb 28 21:40:38 YEKT 2025","passed","Fri Feb 28 21:40:39 YEKT 2025","","Тесты логина пользователя с некорректными данными","LoginUserEndpoint.LogInIncorrectUserInfoTest","logInIncorrectUserEmailTest"
"","2072","Обновление емейла пользователя","","Fri Feb 28 21:40:45 YEKT 2025","passed","Fri Feb 28 21:40:47 YEKT 2025","","Тесты изменения информации о пользователе с авторизацией","UpdateUserInfoEndpointTest.UpdateUserInfoWithoutAuthorizationTest","updateUserEmailTest"
"","1778","Обновление имени пользователя","","Fri Feb 28 21:40:43 YEKT 2025","passed","Fri Feb 28 21:40:45 YEKT 2025","","Тесты изменения информации о пользователе с авторизацией","UpdateUserInfoEndpointTest.UpdateUserInfoWithAuthorizationTest","updateUserNameTest"
